pointId,easting,northing,elevation,surveyedAt
P00001,429351.69,5786498.19,50.180,2026-03-02T08:01:00.0000000+00:00
P00002,425019.94,5734869.37,45.809,2026-03-02T08:02:00.0000000+00:00
P00003,469501.03,5708206.90,11.855,2026-03-02T08:03:00.0000000+00:00
P00004,475839.47,5721551.58,44.080,2026-03-02T08:04:00.0000000+00:00
P00005,499395.45,5751331.54,33.497,2026-03-02T08:05:00.0000000+00:00
P00006,429465.24,5750354.06,62.892,2026-03-02T08:06:00.0000000+00:00
P00007,451544.42,5785689.66,72.549,2026-03-02T08:07:00.0000000+00:00
P00008,483539.61,5748880.43,32.504,2026-03-02T08:08:00.0000000+00:00
P00009,443990.61,5775861.07,72.099,2026-03-02T08:09:00.0000000+00:00
P00010,479560.70,5719866.78,18.104,2026-03-02T08:10:00.0000000+00:00
P00011,466726.70,5757177.85,7.258,2026-03-02T08:11:00.0000000+00:00
P00012,430591.63,5734004.18,34.697,2026-03-02T08:12:00.0000000+00:00
P00013,499844.09,5766798.66,67.885,2026-03-02T08:13:00.0000000+00:00
P00014,459185.55,5709800.00,9.757,2026-03-02T08:14:00.0000000+00:00
P00015,473857.22,5744344.40,24.980,2026-03-02T08:15:00.0000000+00:00
P00016,469431.73,5722097.75,89.104,2026-03-02T08:16:00.0000000+00:00
P00017,497766.98,5752764.23,11.726,2026-03-02T08:17:00.0000000+00:00
P00018,416416.25,5722933.06,6.702,2026-03-02T08:18:00.0000000+00:00
P00019,443115.12,5796079.31,17.647,2026-03-02T08:19:00.0000000+00:00
P00020,400664.65,5759721.81,10.861,2026-03-02T08:20:00.0000000+00:00
P00021,481510.90,5736310.35,44.657,2026-03-02T08:21:00.0000000+00:00
P00022,447697.24,5710392.56,61.764,2026-03-02T08:22:00.0000000+00:00
P00023,435833.36,5742650.37,76.855,2026-03-02T08:23:00.0000000+00:00
P00024,452829.67,5715144.74,87.138,2026-03-02T08:24:00.0000000+00:00
P00025,401998.38,5753865.57,67.335,2026-03-02T08:25:00.0000000+00:00
P00026,450724.16,5787095.66,37.229,2026-03-02T08:26:00.0000000+00:00
P00027,436346.80,5775604.57,52.826,2026-03-02T08:27:00.0000000+00:00
P00028,459864.86,5744111.19,85.830,2026-03-02T08:28:00.0000000+00:00
P00029,422075.63,5781321.74,25.435,2026-03-02T08:29:00.0000000+00:00
P00030,471002.07,5792828.22,30.113,2026-03-02T08:30:00.0000000+00:00
P00031,411871.90,5750061.76,5.524,2026-03-02T08:31:00.0000000+00:00
P00032,489382.69,5794645.19,0.040,2026-03-02T08:32:00.0000000+00:00
P00033,409967.95,5709422.32,12.105,2026-03-02T08:33:00.0000000+00:00
P00034,469750.82,5742726.70,31.110,2026-03-02T08:34:00.0000000+00:00
P00035,452222.76,5787767.43,86.340,2026-03-02T08:35:00.0000000+00:00
P00036,430096.13,5746560.64,40.680,2026-03-02T08:36:00.0000000+00:00
P00037,432555.83,5781135.91,27.262,2026-03-02T08:37:00.0000000+00:00
P00038,488441.02,5762723.77,57.329,2026-03-02T08:38:00.0000000+00:00
P00039,434079.38,5793201.82,47.515,2026-03-02T08:39:00.0000000+00:00
P00040,468588.41,5755030.39,22.290,2026-03-02T08:40:00.0000000+00:00
P00041,464721.45,5773600.60,80.868,2026-03-02T08:41:00.0000000+00:00
P00042,457444.45,5750308.41,89.312,2026-03-02T08:42:00.0000000+00:00
P00043,429424.78,5752177.16,74.329,2026-03-02T08:43:00.0000000+00:00
P00044,448315.74,5712394.54,8.571,2026-03-02T08:44:00.0000000+00:00
P00045,440890.47,5761201.95,86.042,2026-03-02T08:45:00.0000000+00:00
